Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,16-Mar,156.8,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,Marine Worldwide Emergancy,,,,
1,09-Mar,156.45,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,PC Marine - Intership/Shipshore ,,,,
2,Mar-66A,156.325,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1W,PC Marine - Intership/Shipshore - Marinas ,,,,
3,Mar-67,156.375,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,PC Marine - Intership/Shipshore ,,,,
4,Mar-68,156.425,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,PC Marine - Intership/Shipshore ,,,,
5,Mar-69,156.475,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,PC Marine - Intership/Shipshore - A.E.S. Marep ,,,,
6,Mar-72,156.625,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,PC Marine - Intership Only,,,,
7,Mar-73,156.675,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,PC Marine - Intership/Shipshore ,,,,
8,Mar-87A,157.375,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,PC Marine - Intership Only,,,,
9,CCG-22A,157.1,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,Coast Guard Working Channel,,,,
10,CCG-26,157.3,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,Coast Guard Working Channel,,,,
11,CCG-83A,157.175,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,Coast Guard Working Channel -Prefered,,,,
12,CCG-84,157.225,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,Coast Guard Working Channel,,,,
13,WX-1,162.55,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,S,4.0W,Weather Channel - Castlegar/Fort Nelson/Kelowna/Vancouver,,,,
14,WX-2,162.4,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,S,4.0W,Weather Channel - Victoria/Chilliwack/Cranbrook/Kamloops/Sicamous/Revelstoke/Prince George,,,,
15,WX-3,162.475,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,S,4.0W,Weather Channel - Penticton/ Forts St. Johnn/Vernon,,,,
16,WX-4,162.425,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,S,4.0W,Weather Channel - Crawford Bay/Masset,,,,
17,WX-5,162.45,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,S,4.0W,Weather Channel ,,,,
18,WX-6,162.5,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,S,4.0W,Weather Channel - Sandspit,,,,
19,WX-7,162.525,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,S,4.0W,Weather Channel - Taxada Island/Ucluelet/Prince Rupert/Port Alberni/Port Hardy,,,,
20,WX-8,161.65,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,S,4.0W,Weather Channel ,,,,
21,WX-9,161.775,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,S,4.0W,Weather Channel ,,,,
22,WX-10,163.275,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,S,4.0W,Weather Channel ,,,,
23,GMR-01,462.5625,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,Walkie Talkie Channels,,,,
24,GMR-02,462.5875,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,Walkie Talkie Channels,,,,
25,GMR-03,462.6125,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,Walkie Talkie Channels,,,,
26,GMR-04,462.6375,,0,,88.5,88.5,23,NN,271,Tone->Tone,NFM,5,,4.0W,Walkie Talkie Channels,,,,
